date,Ambagiorgis Sch,Aymba,Chewahit,Gondar A.P.,Maksegnit,Shembekit
01/09/2006,0,20.3,34.2,7.7,11,2.4
02/09/2006,0,15,2.4,47.4,21.6,0
03/09/2006,0,30,2.4,2.6,3,0
04/09/2006,10.8,20,5.7,4.4,22.8,0
05/09/2006,8.5,10.4,12.2,9.8,30,0
06/09/2006,3.4,8,3.6,12.8,6,0
07/09/2006,0,12.3,4.8,6.7,8.1,0
08/09/2006,6.5,0,0,0,2,0
09/09/2006,4.8,0,0,0,0,0
10/09/2006,0,6.4,17.6,0,0,0
11/09/2006,0,0.5,13.2,11.1,2.8,0
12/09/2006,0,0,6.9,3,0,0
13/09/2006,6.2,0,0,0.4,0,0
14/09/2006,0,0,0,0,0,0
15/09/2006,0,15,1.8,0.4,0,0
16/09/2006,0,0,16.2,1.5,0,0
17/09/2006,0,0,0.3,0,0.5,0
18/09/2006,0,0,0.3,16.9,0.3,11.4
19/09/2006,0,0,0.3,1.5,0,0
20/09/2006,0,20.3,2.7,0,0,0
21/09/2006,0,15.4,13.2,0,0,0
22/09/2006,0,0,0.8,35.1,2.3,0
23/09/2006,0,0,0,0.3,0.4,0
24/09/2006,0,12.3,0.1,0,0,0
25/09/2006,0,0,2.9,1.4,0,3.2
26/09/2006,0,30,0,12.3,1.4,0
27/09/2006,0,0,11.6,5.1,5.5,16.2
28/09/2006,0,15.2,17.3,7.5,2,0
29/09/2006,0,0,15.5,4.6,0,0
30/09/2006,0,0,0,0,0,0
01/10/2006,0,0,4.7,0,0,4.3
02/10/2006,0,13.3,7,17.5,22,0
03/10/2006,0,12.4,0,3.4,11.6,0
04/10/2006,0,0,0,15.2,0,0
05/10/2006,0,0,13.7,0,0,0
06/10/2006,0,0,24.3,0,0,0
07/10/2006,0,0,3.4,0,0,10.5
08/10/2006,1.3,15.3,0,0.6,0,25.6
09/10/2006,0,0,0,1.4,0,15.4
10/10/2006,0,0,0,2,0,0
11/10/2006,0,0,1.3,0,0,0
12/10/2006,0,20.3,0,0,0,0
13/10/2006,0,0,8.5,0,0,0
14/10/2006,0,0,0,6.1,0,0
15/10/2006,0,0,0,0,0,0
16/10/2006,0,0,0,0,0,0
17/10/2006,0,0,0,0.1,0,1.3
18/10/2006,0,0,0.5,0,0,0
19/10/2006,0,0,0,0,0,0
20/10/2006,0,0,0,0,0,0
21/10/2006,0,10.3,0,0,0,0
22/10/2006,0,0,0.4,0,0,0
23/10/2006,0,0,1.5,0,0,0
24/10/2006,0,0,0,0,0,0
25/10/2006,0,0,5.4,0,0,0
26/10/2006,0,0,0.3,0,0,0.3
27/10/2006,28.6,0,19.5,5.1,29,12.3
28/10/2006,8.9,17.5,0,0,0,0
29/10/2006,6.7,0,0,35.3,0,33.2
30/10/2006,0,0,0,0,2,0
31/10/2006,0,0,0,0,0,0
01/11/2006,0,0,0,0,0,0
02/11/2006,0,0,0,0,0,0
03/11/2006,0,0,0,0,0,0
04/11/2006,0,0,0,0,0,0
05/11/2006,0,0,0,0,0,0
06/11/2006,0,0,0,0,0,0
07/11/2006,0,0,0,0,0,0
08/11/2006,0,0,0,0,0,0
09/11/2006,0,0,0,0,0,0
10/11/2006,0,0,0,0,2,0
11/11/2006,0,0,0,0,0,0
12/11/2006,0,0,0,0,0,0
13/11/2006,0,0,0,0,0,0
14/11/2006,0,0,0,0,0,0
15/11/2006,0,0,0,0,0,0
16/11/2006,0,0,0,0,0,0
17/11/2006,0,0,0,0,0,0
18/11/2006,0,0,0,0,0,0
19/11/2006,0,0,0,0,0,0
20/11/2006,0,0,0,0,0,0
21/11/2006,0,0,0,0,0,0
22/11/2006,0,0,0,0,0,0
23/11/2006,5.4,0,0,0,11.6,11.4
24/11/2006,0,0,0,4.2,0,0
25/11/2006,0,0,0,0,0,0
26/11/2006,0,0,0,0,0,0
27/11/2006,0,0,0,0,0,0
28/11/2006,0,0,0,0,0,0
29/11/2006,0,0,0,0,0,0
30/11/2006,0,0,0,0,,0
01/12/2006,0,0,12.7,0,0,0
02/12/2006,0,0,5.6,0.2,0,0
03/12/2006,0,0,0,1.7,0,0
04/12/2006,0,0,12.2,24.7,0,0
05/12/2006,0,0,0,2.4,0,0
06/12/2006,0,0,0,0,0,0
07/12/2006,0,0,0,0,0,0
08/12/2006,0,0,0,6,5.3,0
09/12/2006,0,0,0,0,0,0
10/12/2006,0,0,0,0,0,0
11/12/2006,0,0,0,0,0,0
12/12/2006,0,0,0,0,0,0
13/12/2006,0,0,0,0,0,0
14/12/2006,0,0,0,0,0,0
15/12/2006,0,0,0,0,0,0
16/12/2006,,0,0,0,0,0
17/12/2006,,0,0,0,0,0
18/12/2006,0,0,0,0,0,0
19/12/2006,0,0,0,0,0,0
20/12/2006,0,0,0,0,0,0
21/12/2006,0,0,0,0,0,0
22/12/2006,0,0,0,0,0,0
23/12/2006,0,0,0,0,0,0
24/12/2006,0,0,0,0,0,0
25/12/2006,0,0,0,0,0,0
26/12/2006,0,0,0,0,0,0
27/12/2006,0,0,0,0,0,0
28/12/2006,0,0,0,0,0,0
29/12/2006,0,0,0,0,0,0
30/12/2006,0,0,0,0,0,0
31/12/2006,0,0,0,0,0,0
01/01/2007,0,0,0,0,0,0
02/01/2007,0,0,0,0,0,0
03/01/2007,0,0,0,0,0,0
04/01/2007,0,0,0,0,0,0
05/01/2007,0,0,0,0,0,0
06/01/2007,0,0,0,0,0,0
07/01/2007,0,0,0,0,0,0
08/01/2007,0,0,0,0,0,0
09/01/2007,0,0,0,0,0,0
10/01/2007,0,0,0,0,0,0
11/01/2007,0,0,0,0,0,0
12/01/2007,0,0,0,0,0,0
13/01/2007,0,0,0,0,0,0
14/01/2007,0,0,0,0,0,0
15/01/2007,0,0,0,0,0,0
16/01/2007,0,0,0,0,0,0
17/01/2007,0,0,0,0,0,0
18/01/2007,0,0,0,0,0,0
19/01/2007,0,0,0,0,0,0
20/01/2007,0,0,0,0,0,0
21/01/2007,0,0,0,0,0,0
22/01/2007,0,0,0,0,0,0
23/01/2007,0,0,0,0,0,0
24/01/2007,0,0,0,0,0,0
25/01/2007,0,0,0,0,0,0
26/01/2007,0,0,0,0,0,0
27/01/2007,0,0,0,0,0,0
28/01/2007,0,0,0,0,0,0
29/01/2007,0,0,0,0,0,0
30/01/2007,0,0,0,0,0,0
31/01/2007,0,0,0,0,0,0
01/02/2007,0,0,0,0,0,0
02/02/2007,0,0,0,0,0,4.5
03/02/2007,0,0,0,0,0,0
04/02/2007,0,0,0,0,0,0
05/02/2007,0,0,0,0,0,0
06/02/2007,0,0,0,0,0,10.3
07/02/2007,0,0,0,0,0,4.6
08/02/2007,0,0,0,0,0,8.4
09/02/2007,0,0,0,0,0,0
10/02/2007,0,0,0,0,0,0
11/02/2007,0,0,0,0,0,0
12/02/2007,0,0,0,0,0,0
13/02/2007,0,0,0,0,0,0
14/02/2007,0,0,0,0,0,0
15/02/2007,0,0,0,0,0,0
16/02/2007,0,0,0,0,0,0
17/02/2007,0,0,0,0,0,0
18/02/2007,0,0,0,0,0,0
19/02/2007,0,0,0,0,0,0
20/02/2007,0,0,0,0,0,0
21/02/2007,0,0,0,0,0,0
22/02/2007,0,0,0,0,0,9.4
23/02/2007,0,0,0,0,0,1.3
24/02/2007,0,0,0,0,0,0
25/02/2007,0,0,0,0,0,0
26/02/2007,0,0,0,0,0,0
27/02/2007,0,0,0,0,0,0
28/02/2007,0,0,0,0,0,0
01/03/2007,0,0,0,0,0,0
02/03/2007,0,0,0,0,0,0
03/03/2007,0,0,0,1.1,0,0
04/03/2007,0,0,0,0,0,0
05/03/2007,0,0,0,0,0,0
06/03/2007,0,0,0,0,0,0
07/03/2007,0,0,0,0,0,0
08/03/2007,0,0,0,0,0,0
09/03/2007,0,0,0,0,0,0
10/03/2007,0,0,0,0,0,0
11/03/2007,0,0,0,0,0,0
12/03/2007,0,0,0,0,0,0
13/03/2007,0,0,0,0,0,0
14/03/2007,0,0,0,0,0,0
15/03/2007,0,0,0,0,0,0
16/03/2007,0,0,0,0,0,0
17/03/2007,0,0,0,0,0,0
18/03/2007,0,0,0,0,0,0
19/03/2007,0,0,0,0,0,0
20/03/2007,0,0,0,0,0,0
21/03/2007,0,0,0,0,0,0
22/03/2007,0,8.5,0,0,0,0
23/03/2007,0,0,0,0,0,0
24/03/2007,0,0,0,0,1.2,0
25/03/2007,0,7.4,2.1,0,0,0
26/03/2007,80.4,0,5.6,0,0,0
27/03/2007,11.7,0,0,0,1,7.4
28/03/2007,11.5,0,0,0,0,12.6
29/03/2007,0,0,0,0,0,2.2
30/03/2007,0,0,0,0,0,0
31/03/2007,0,0,0,0,0,0
01/04/2007,0,0,0,0,0,2.4
02/04/2007,0,0,0,0,0,1.5
03/04/2007,0,0,0,9.3,6.2,0
04/04/2007,0,0,15.5,0,0,0
05/04/2007,0,0,0,0,1.3,0
06/04/2007,0,0,2.3,2.6,0,0
07/04/2007,0,0,0,0.7,0,0
08/04/2007,0,0,12.9,2,3.6,0
09/04/2007,3.6,0,0,1.3,0,0
10/04/2007,0,0,0.2,1.6,2.8,0
11/04/2007,15,0,0,0.3,0.3,0
12/04/2007,0,0,0,0,0,0
13/04/2007,0,0,0,0,0,0
14/04/2007,0,0,0,0,0,0
15/04/2007,0,0,0,0,0,0
16/04/2007,0,0,0,0,0,0
17/04/2007,0,0.5,0,0,0,0
18/04/2007,0,0,0,0,0,0
19/04/2007,0,0,0,0,0,0
20/04/2007,0,0,0,0,0,0
21/04/2007,8.1,0,0,9.9,0,0
22/04/2007,0,4.3,0,0,0,0
23/04/2007,0,0,0,0,0,0
24/04/2007,0,0,0,0,1.7,0
25/04/2007,0,0,20.2,0.7,0,0
26/04/2007,2.1,0,0,14,5.6,0
27/04/2007,0,5.3,8.8,0,0,4.6
28/04/2007,0,0,0,0.4,2.8,0
29/04/2007,5.7,0,0,2.3,0.7,10.8
30/04/2007,2.3,0,,0,0,0
01/05/2007,3,0,0,0,0,0
02/05/2007,0,0,0,0,0,0
03/05/2007,0,8.5,0,0,0,0
04/05/2007,6.6,0,9.7,4,0,4.7
05/05/2007,0,0,4.7,6.9,0,7.3
06/05/2007,6.7,0,9.6,0,4.8,4.7
07/05/2007,8.9,0,0.8,3.8,0.3,0.8
08/05/2007,0,6.4,5.6,3.1,0,4.2
09/05/2007,5.6,0,0,2.4,23.6,3.5
10/05/2007,3.8,0,0,0,0,0
11/05/2007,0,0,0,3.2,1.5,0
12/05/2007,3.2,0,18,0.3,0,4.6
13/05/2007,1.4,0,0,0.4,0,0
14/05/2007,0,0,1.8,0.5,0,0
15/05/2007,0,0,0,0,0,0
16/05/2007,0,8.4,0,0,0,0
17/05/2007,0,0,0,0,0,0
18/05/2007,0,0,24.8,0,0,0
19/05/2007,0,0,1.3,0,1,0
20/05/2007,0,0.5,0,0,0,0
21/05/2007,0,0,2.9,3,2.3,3.5
22/05/2007,0,0,0,0,4.7,0
23/05/2007,0,0,0,0,0,16.5
24/05/2007,0,0,2.9,0.4,0,10
25/05/2007,21.4,0,0.8,9.1,1.3,4.4
26/05/2007,16.7,16.3,9.7,2.5,0,0
27/05/2007,0,0,0,39.2,8.8,0
28/05/2007,10.3,6.3,1.5,2.3,3.3,10.3
29/05/2007,16.2,5.4,17.7,9.6,7.4,8.4
30/05/2007,6.4,0,7.3,10.2,1.2,6.7
31/05/2007,3.8,3.4,10.9,0.7,4.7,0
01/06/2007,2.4,0,0,5,0,0
02/06/2007,0,0,0,2.1,0.3,4.2
03/06/2007,0,0,7.6,17.3,33.2,0
04/06/2007,3.6,8.5,0,0,0,0
05/06/2007,0,15.3,0,0,0,3.2
06/06/2007,0,8.4,21.4,0,13.4,0
07/06/2007,14.5,6.4,0,3.2,0,0
08/06/2007,0,0,0.8,0.2,0,0
09/06/2007,1.4,0,5.1,0,6.3,2.6
10/06/2007,0,0,25.4,0,0,7.3
11/06/2007,0,0,0,0,0,6.8
12/06/2007,0,0,1.5,8.8,2.9,8.4
13/06/2007,5.5,46.3,0,0.2,1,0
14/06/2007,0,2.5,6.4,20.7,6.1,0
15/06/2007,0,15.2,0,0,0,0
16/06/2007,6,0,3.4,1,16.4,0
17/06/2007,0,0,5.2,0,0,0
18/06/2007,0,0,22.9,0,7.1,0
19/06/2007,0,0,3.7,0,6.6,3.8
20/06/2007,0,0,1,48.1,1.7,2.4
21/06/2007,12.2,0,12.6,0,1.3,12.8
22/06/2007,14,16.3,12.7,19.2,18.6,0.4
23/06/2007,14.1,6.5,6.4,20.1,0,15.4
24/06/2007,13.6,0,16.2,19.5,2.1,5.5
25/06/2007,3.8,0,26.3,0.3,11.8,13.2
26/06/2007,21.8,0,16.2,6.7,24.4,3.8
27/06/2007,23.6,0,7.6,3,0,0.1
28/06/2007,16.3,16.3,0.7,0,0.6,10.2
29/06/2007,24.2,0,0.7,2.5,10,0
30/06/2007,14.4,5.4,2.5,4.5,6.6,4.2
01/07/2007,21.7,0,0,1.2,7.2,4.2
02/07/2007,13.5,15.4,14.3,31.2,58.8,27.3
03/07/2007,16.6,16.3,5.8,5.4,2,12.7
04/07/2007,5.3,0,8.8,28,38.7,44.4
05/07/2007,8.4,5.3,3.8,2.5,7.2,4.5
06/07/2007,3.7,10.4,1.2,6.1,4.8,3.5
07/07/2007,0,0,0,1.1,5.6,14.4
08/07/2007,25.4,8.5,9.4,12.2,11,28.2
09/07/2007,6.8,6.2,1.6,4,15.6,5.4
10/07/2007,0,0,0,0,0,3.4
11/07/2007,12.6,0,0.8,4.1,1.3,3.8
12/07/2007,30.3,25.3,1.8,2.6,3,27.4
13/07/2007,8.4,0,2.6,15.5,13.9,4.5
14/07/2007,10.8,0,0.6,2.3,22.1,7.7
15/07/2007,0,8.5,0,0.2,1.4,4.8
16/07/2007,3.6,6.4,16.3,11,19.1,0.7
17/07/2007,30.1,0,22.6,20.4,16.4,23.4
18/07/2007,7,0,5.8,20.5,0.4,16.5
19/07/2007,4.8,0,3.6,0,14.6,23.8
20/07/2007,15.4,15.4,13.4,2.2,38.4,3.7
21/07/2007,0,6.7,11,14.8,3.5,4.7
22/07/2007,8.4,3.2,9.1,4.1,8.9,1.5
23/07/2007,5.3,14.5,1.5,9.7,7.8,3.3
24/07/2007,9.5,6.3,2.8,43.1,18.2,5.7
25/07/2007,4.8,12.2,2.9,0.2,0,15
26/07/2007,23,5.5,19.3,4.2,0,2.4
27/07/2007,7.9,10.3,1.9,2.2,2.5,13.2
28/07/2007,19.7,6.4,42.2,40.5,19.3,16.4
29/07/2007,13.8,0,0.2,3.1,0.4,3
30/07/2007,6.4,15.3,23.4,17,5.7,13
31/07/2007,15.6,5.3,6.5,12.1,5.6,14
01/08/2007,9.3,10.8,2.8,6.5,10.1,7.2
02/08/2007,32.4,6.4,13.7,17.1,16.8,3.2
03/08/2007,22,8.2,12.6,10.1,2.4,10.3
04/08/2007,19.4,16.5,8.2,6.8,9.5,19.8
05/08/2007,13.5,0,24.9,16.3,3,37
06/08/2007,17,10.6,0.2,0.2,0.5,36.8
07/08/2007,6.7,18.4,16.9,22.3,8.9,0
08/08/2007,13.5,10.7,5.2,0,0,21.2
09/08/2007,2.7,1.5,3.9,11,3.5,21.3
10/08/2007,9.1,8.3,12.4,34.7,13.9,1.5
11/08/2007,0,8.3,1.8,3.5,16.8,1.7
12/08/2007,6.6,33.2,0.4,29.7,1.2,3.5
13/08/2007,9.5,0,0,4.7,0,1.7
14/08/2007,3.4,12.5,1.4,3.9,0,4.4
15/08/2007,37,8.7,39,25.1,28.3,25.5
16/08/2007,0,4.3,1.4,0,0.8,83.5
17/08/2007,2.6,19.6,1.7,0.3,0,1.5
18/08/2007,0,6.5,6.6,0.5,10.7,9.8
19/08/2007,4.8,5,11.1,5.7,20.5,18
20/08/2007,16.3,0,6.8,17.4,10.2,10.6
21/08/2007,2.7,0,0,0.2,1.4,21.3
22/08/2007,0,5.2,17,26.2,21.2,2
23/08/2007,0,0,45.3,18.4,19.3,13.5
24/08/2007,2.5,20.3,1.7,8.7,1.4,4.3
25/08/2007,0,14.3,0,0,0,0
26/08/2007,0,4.2,0,0,0,0
27/08/2007,46.6,3,21.1,39.8,12.3,0
28/08/2007,3.4,16.5,0,9.8,2.6,19.2
29/08/2007,41.8,10.5,13.6,20.9,35.2,4.3
30/08/2007,28.4,20.3,1.4,0,3.4,7.2
31/08/2007,33.3,10.5,6.8,15.3,13.7,10.3
01/09/2007,20.2,0,0,1.7,1.6,16.4
02/09/2007,15,15.3,9.8,11.7,4,0
03/09/2007,6.8,30.5,5.9,20.5,6.8,6.2
04/09/2007,2.3,10.8,4.6,2,4.1,53.2
